zip,total,grand_total,perc
21232,328,20328513.18,0.00161349724446498
21234,61279.74,20328513.18,0.301447230583934
21235,16.5,20328513.18,8.11667821148541e-05
21236,14840.77,20328513.18,0.0730046996973735
21237,11458.52,20328513.18,0.0563667391635574
21238,95,20328513.18,0.000467323897024917
21239,24702.59,20328513.18,0.121516953951671
21240,25,20328513.18,0.000122979972901294
21243,2,20328513.18,9.83839783210352e-06
21244,20889.98,20328513.18,0.102761966972343
21245,27.5,20328513.18,0.000135277970191423
21246,25,20328513.18,0.000122979972901294
21248,27.5,20328513.18,0.000135277970191423
21250,2000,20328513.18,0.00983839783210353
21251,74.7,20328513.18,0.000367464159029067
21252,100,20328513.18,0.000491919891605176
21257,57.08,20328513.18,0.000280787874128235
21258,45,20328513.18,0.000221363951222329
21282,1787.5,20328513.18,0.00879306806244252
21283,25,20328513.18,0.000122979972901294
21284,1263.5,20328513.18,0.0062154078304314
21285,279.1,20328513.18,0.00137294841747005
21286,49783.92,20328513.18,0.244897005300808
21287,175,20328513.18,0.000860859810309059
21292,45,20328513.18,0.000221363951222329
21293,25,20328513.18,0.000122979972901294
21296,101,20328513.18,0.000496839090521228
21297,50,20328513.18,0.000245959945802588
21300,45,20328513.18,0.000221363951222329
21301,100,20328513.18,0.000491919891605176
21302,190,20328513.18,0.000934647794049835
21304,64,20328513.18,0.000314828730627313
21306,126,20328513.18,0.000619819063422522
21307,70,20328513.18,0.000344343924123623
21308,31,20328513.18,0.000152495166397605
21309,5.5,20328513.18,2.70555940382847e-05
21310,21.5,20328513.18,0.000105762776695113
21313,3,20328513.18,1.47575967481553e-05
21317,15,20328513.18,7.37879837407764e-05
21318,188,20328513.18,0.000924809396217731
21328,60,20328513.18,0.000295151934963106
21330,60,20328513.18,0.000295151934963106
21334,25,20328513.18,0.000122979972901294
21336,20,20328513.18,9.83839783210352e-05
21344,67,20328513.18,0.000329586327375468
21401,258681.51,20328513.18,1.27250580359463
21402,1472.22,20328513.18,0.00724214302818973
21403,188658.41,20328513.18,0.928048245976049
21404,270.6,20328513.18,0.00133113522668361
21405,11636.96,20328513.18,0.0572445210181377
21408,49,20328513.18,0.000241040746886536
21409,67478.85,20328513.18,0.331941885776419
21412,10,20328513.18,4.91919891605176e-05
21422,44.5,20328513.18,0.000218904351764303
21428,40,20328513.18,0.00019676795664207
21491,15,20328513.18,7.37879837407764e-05
21493,50,20328513.18,0.000245959945802588
21498,150,20328513.18,0.000737879837407764
21501,115,20328513.18,0.000565707875345953
21502,30686.86,20328513.18,0.150954768449032
21503,103,20328513.18,0.000506677488353332
21504,5.5,20328513.18,2.70555940382847e-05
21520,172.5,20328513.18,0.000848561813018929
21521,168.5,20328513.18,0.000828885017354722
21530,5845.3,20328513.18,0.0287541934239974
21531,446.1,20328513.18,0.00219445463645069
21532,7935.4,20328513.18,0.0390358110784372
21536,1244.3,20328513.18,0.00612095921124321
21539,97,20328513.18,0.000477162294857021
21541,1165.67,20328513.18,0.00573416260047406
21545,173.5,20328513.18,0.000853481011934981
21550,9914.01,20328513.18,0.0487689872457263
21555,4643,20328513.18,0.0228398405672283
21557,165,20328513.18,0.000811667821148541
21560,13,20328513.18,6.39495859086729e-05
21561,2350.7,20328513.18,0.0115635608919629
21562,174,20328513.18,0.000855940611393007
21592,16.5,20328513.18,8.11667821148541e-05
21601,98872.32,20328513.18,0.486372609371523
21602,5,20328513.18,2.45959945802588e-05
21607,110,20328513.18,0.000541111880765694
21610,9877.32,20328513.18,0.0485885018374964
21612,4548,20328513.18,0.0223725166702034
21613,21287.97,20328513.18,0.104719758948942
21614,15,20328513.18,7.37879837407764e-05
21617,11513.66,20328513.18,0.0566379837917885
21619,17950.83,20328513.18,0.0883037034782295
21620,91615.14,20328513.18,0.45067309738193
21622,55,20328513.18,0.000270555940382847
21623,2102.5,20328513.18,0.0103426157209988
21624,1341,20328513.18,0.00659664574642541
21625,1094.22,20328513.18,0.00538268583792216
21628,483.5,20328513.18,0.00237843267591103
21629,4987.22,20328513.18,0.0245331272181117
21631,152.5,20328513.18,0.000750177834697894
21632,3807.83,20328513.18,0.0187314732085094
21635,3784.59,20328513.18,0.0186171510257003
21636,211,20328513.18,0.00103795097128692
21638,8485.12,20328513.18,0.0417399931065691
21639,2797.75,20328513.18,0.0137626887673838
